dataset,robot_type,embodiment_type,data_type,task,data_id,directory,obj_pos_err,obj_quat_err,obj_pos_err_right,obj_pos_err_left,obj_quat_err_right,obj_quat_err_left,success,pos_err_threshold,quat_err_threshold
oakink,xhand,bimanual,mjwp_act,uncap_alcohol_burner,3,uncap_alcohol_burner/3,0.03490837733993853,0.23286556329141256,0.03490837733993853,0.000307156268501044,0.23286556329141256,0.012422397251112143,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,uncap_alcohol_burner,4,uncap_alcohol_burner/4,0.03261564722685308,0.20124486284969406,0.03261564722685308,0.00026915062773853017,0.20124486284969406,0.01173132275857643,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,uncap_alcohol_burner,1,uncap_alcohol_burner/1,0.025229064267147643,0.17195358413505882,0.025229064267147643,0.0003794340589517512,0.17195358413505882,0.019407106224750004,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,uncap_alcohol_burner,0,uncap_alcohol_burner/0,0.026641421510272757,0.14960224269189623,0.026641421510272757,0.0012420510685742338,0.14960224269189623,0.019594923210903826,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,uncap_alcohol_burner,2,uncap_alcohol_burner/2,0.024843084801348714,0.18748882403758557,0.024843084801348714,0.0003001745940996,0.18748882403758557,0.01170131057263637,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,stir_beaker,3,stir_beaker/3,0.0477079754168619,0.37601531690143875,0.06778163899824535,0.02763431183547845,0.6828747326630956,0.06915590113978186,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,stir_beaker,4,stir_beaker/4,0.06295219118122103,0.37775710608795054,0.07635875208160726,0.04954563028083478,0.6727464399574904,0.08276777221841072,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,stir_beaker,1,stir_beaker/1,0.03941870796166427,0.3947355557756453,0.05907664835687,0.019760767566458552,0.6923648103968333,0.0971063011544573,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,stir_beaker,0,stir_beaker/0,0.05222442973170042,0.3765053806455087,0.07817305165344657,0.026275807809954265,0.6722470821140243,0.08076367917699309,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,stir_beaker,2,stir_beaker/2,0.04683053176744025,0.3669109587107586,0.06353598670904802,0.03012507682583249,0.6496040985453349,0.08421781887618232,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,unplug,3,unplug/3,0.026960271911723847,0.4798491171654977,0.04127280619501714,0.012647737628430555,0.789665621852821,0.17003261247817453,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,unplug,4,unplug/4,0.033794087899110446,0.4495367214037654,0.0411635887399047,0.026424587058316195,0.6989419277167686,0.20013151509076219,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,unplug,1,unplug/1,0.04584335396042997,0.9883640529941917,0.03794214356341202,0.05374456435744791,0.5209156883336107,1.4558124176547727,False,0.1,0.5
oakink,xhand,bimanual,mjwp_act,unplug,0,unplug/0,0.024368249225762126,0.4298425536010763,0.03983822486132707,0.008898273590197183,0.6876323287228685,0.17205277847928413,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,unplug,2,unplug/2,0.03105602497602362,0.44512698203952017,0.05179253790508667,0.010319512046960572,0.6791924981970248,0.21106146588201555,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,pick_spoon_bowl,3,pick_spoon_bowl/3,0.07400712497074821,0.27536502665329304,0.09383473724969207,0.054179512691804356,0.48820490257558213,0.06252515073100395,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,pick_spoon_bowl,4,pick_spoon_bowl/4,0.060367522404130285,0.4810693173884325,0.08435438217072629,0.03638066263753428,0.9361001401253828,0.02603849465148226,True,0.1,0.5
oakink,xhand,bimanual,mjwp_act,pick_spoon_bowl,1,pick_spoon_bowl/1,0.03344628961590529,0.5641796363705185,0.05740959931023614,0.00948297992157444,1.0143251912918667,0.11403408144917031,False,0.1,0.5
