dataset,robot_type,embodiment_type,data_type,task,data_id,directory,obj_pos_err,obj_quat_err,obj_pos_err_right,obj_pos_err_left,obj_quat_err_right,obj_quat_err_left,success,pos_err_threshold,quat_err_threshold
oakink,schunk,bimanual,mjwp_act,uncap_alcohol_burner,3,uncap_alcohol_burner/3,0.026153152756831274,0.5749314496130151,0.026153152756831274,0.00744111846080156,0.5749314496130151,0.10123244534124592,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,uncap_alcohol_burner,4,uncap_alcohol_burner/4,0.046823370101013,0.1751035726937326,0.046823370101013,0.009465310804246454,0.1751035726937326,0.06487893058254288,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,uncap_alcohol_burner,1,uncap_alcohol_burner/1,0.04950522594654349,0.19240311757891718,0.04950522594654349,0.006123540900565117,0.19240311757891718,0.03733372174872603,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,uncap_alcohol_burner,0,uncap_alcohol_burner/0,0.031124836114891884,0.37297980677219433,0.031124836114891884,0.007139551215874745,0.37297980677219433,0.10529412614177719,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,uncap_alcohol_burner,2,uncap_alcohol_burner/2,0.03628191044208058,0.162698141857392,0.03628191044208058,0.00476532092863587,0.162698141857392,0.06579974849029396,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,stir_beaker,3,stir_beaker/3,0.09849561284802746,0.4974810357354529,0.16542690456638062,0.031564321129674305,0.8218878873976141,0.17307418407329161,True,0.1,0.5
oakink,schunk,bimanual,mjwp_act,stir_beaker,4,stir_beaker/4,0.08985437810381543,0.6322183558705401,0.13045640563010147,0.049252350577529386,1.1043330615139606,0.16010365022711948,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,stir_beaker,1,stir_beaker/1,0.1095478013477464,0.7961712671335213,0.1933322466437478,0.02576335605174501,1.4063900812383487,0.18595245302869376,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,stir_beaker,0,stir_beaker/0,0.10485173648579892,0.5197433678006417,0.18865181982527585,0.021051653146321975,0.8920217283497842,0.14746500725149908,False,0.1,0.5
oakink,schunk,bimanual,mjwp_act,stir_beaker,2,stir_beaker/2,0.10107138144114614,0.640417217605833,0.17720270337309177,0.024940059509200512,1.149567618511319,0.13126681670034707,False,0.1,0.5
